customer_id,signup_date,country,acquisition_channel
C100000,2023-03-04,UK,organic
C100001,2023-10-31,AU,social
C100002,2023-05-22,US,email
C100003,2024-05-30,UK,social
C100004,2023-12-26,US,organic
C100005,2023-12-17,US,email
C100006,2024-07-01,CA,referral
C100007,2024-01-17,US,paid_search
C100008,2023-03-06,CA,paid_search
C100009,2024-08-23,UK,social
C100010,2023-04-26,UK,organic
C100011,2023-02-17,AU,referral
C100012,2024-04-19,UK,paid_search
C100013,2023-09-12,US,paid_search
C100014,2024-01-18,US,social
C100015,2024-10-07,UK,email
C100016,2023-10-15,US,organic
C100017,2023-02-23,US,paid_search
C100018,2023-11-21,US,organic
C100019,2023-08-20,US,social
C100020,2024-10-20,US,referral
C100021,2024-03-16,UK,organic
C100022,2024-06-21,UK,referral
C100023,2024-08-12,US,paid_search
C100024,2023-06-17,UK,paid_search
C100025,2024-08-05,US,paid_search
C100026,2024-07-11,UK,social
C100027,2023-11-27,UK,social
C100028,2024-01-24,US,organic
C100029,2023-01-27,US,paid_search
C100030,2023-11-04,UK,organic
C100031,2024-08-21,CA,social
C100032,2024-02-07,CA,organic
C100033,2023-03-05,CA,organic
C100034,2024-02-26,US,organic
C100035,2024-11-18,US,organic
C100036,2024-11-25,AU,paid_search
C100037,2024-07-29,US,paid_search
C100038,2024-10-04,US,social
C100039,2023-03-30,CA,social
C100040,2024-11-28,CA,organic
C100041,2023-10-20,UK,paid_search
C100042,2023-08-23,US,paid_search
C100043,2024-06-24,UK,organic
C100044,2024-05-16,US,organic
C100045,2024-10-18,US,social
C100046,2023-12-13,US,organic
C100047,2023-06-17,US,social
C100048,2024-03-01,US,paid_search
C100049,2023-08-28,US,email
C100050,2023-09-14,AU,social
C100051,2023-11-17,US,email
C100052,2023-07-04,UK,social
C100053,2024-07-06,US,paid_search
C100054,2023-02-25,US,email
C100055,2023-03-31,US,paid_search
C100056,2024-05-20,US,organic
C100057,2024-01-18,US,referral
C100058,2023-01-14,UK,social
C100059,2024-04-09,US,social
C100060,2023-04-09,CA,social
C100061,2024-03-16,US,organic
C100062,2024-07-04,US,organic
C100063,2023-05-12,US,paid_search
C100064,2024-04-19,US,social
C100065,2024-07-09,US,email
C100066,2024-11-23,CA,organic
C100067,2024-03-04,CA,paid_search
C100068,2023-04-17,AU,organic
C100069,2023-11-23,UK,paid_search
C100070,2023-07-13,US,organic
C100071,2023-11-05,AU,organic
C100072,2024-01-15,US,paid_search
C100073,2024-10-29,US,organic
C100074,2024-08-17,US,paid_search
C100075,2023-09-12,UK,referral
C100076,2024-01-15,US,organic
C100077,2023-08-09,US,social
C100078,2023-03-25,US,social
C100079,2024-05-26,UK,social
C100080,2023-08-13,US,email
C100081,2024-11-13,US,paid_search
C100082,2023-04-09,CA,organic
C100083,2023-08-05,UK,referral
C100084,2024-11-05,US,email
C100085,2024-03-20,US,organic
C100086,2024-09-25,US,email
C100087,2023-05-07,US,paid_search
C100088,2023-07-29,US,email
C100089,2023-04-17,AU,social
C100090,2024-08-14,AU,referral
C100091,2023-03-23,CA,organic
C100092,2023-01-16,UK,social
C100093,2023-10-15,US,paid_search
C100094,2024-05-30,UK,paid_search
C100095,2023-01-04,AU,paid_search
C100096,2023-01-23,US,referral
C100097,2024-09-16,US,paid_search
C100098,2023-09-15,CA,referral
C100099,2023-02-01,US,organic
C100100,2024-11-29,UK,email
C100101,2023-12-16,CA,paid_search
C100102,2024-10-16,US,paid_search
C100103,2023-07-15,US,social
C100104,2024-11-09,US,organic
C100105,2024-10-11,UK,social
C100106,2023-10-19,US,referral
C100107,2023-01-18,UK,social
C100108,2024-08-01,US,paid_search
C100109,2024-02-02,AU,organic
C100110,2024-11-12,US,organic
C100111,2023-12-22,CA,email
C100112,2023-12-31,US,email
C100113,2023-12-16,US,organic
C100114,2023-04-14,CA,paid_search
C100115,2024-05-21,US,organic
C100116,2023-01-05,AU,social
C100117,2023-05-08,AU,referral
C100118,2023-10-30,US,social
C100119,2024-08-15,US,paid_search
C100120,2023-07-21,UK,social
C100121,2023-11-21,US,organic
C100122,2024-06-19,CA,referral
C100123,2024-06-11,CA,organic
C100124,2023-03-25,US,organic
C100125,2023-03-21,CA,referral
C100126,2023-07-11,US,paid_search
C100127,2023-07-08,US,social
C100128,2024-08-11,UK,paid_search
C100129,2024-09-09,US,social
C100130,2023-09-08,US,referral
C100131,2023-08-12,US,paid_search
C100132,2024-10-02,AU,paid_search
C100133,2023-04-20,US,paid_search
C100134,2023-11-15,US,paid_search
C100135,2024-05-11,US,paid_search
C100136,2024-08-04,US,social
C100137,2023-12-28,UK,organic
C100138,2024-08-02,US,organic
C100139,2024-05-30,AU,referral
C100140,2024-01-11,US,paid_search
C100141,2024-09-14,US,paid_search
C100142,2024-03-25,CA,organic
C100143,2023-07-17,US,organic
C100144,2024-10-10,CA,paid_search
C100145,2023-03-07,AU,paid_search
C100146,2023-10-10,AU,paid_search
C100147,2024-08-08,AU,email
C100148,2023-06-17,AU,referral
C100149,2024-02-10,UK,social
C100150,2024-03-07,UK,paid_search
C100151,2024-08-01,CA,organic
C100152,2024-11-07,AU,organic
C100153,2024-07-02,US,social
C100154,2023-06-24,US,paid_search
C100155,2023-10-31,US,organic
C100156,2024-02-27,US,organic
C100157,2023-12-20,US,organic
C100158,2023-10-31,US,social
C100159,2023-06-14,US,email
C100160,2024-04-14,AU,organic
C100161,2024-06-23,US,organic
C100162,2024-11-03,AU,social
C100163,2023-05-22,UK,organic
C100164,2024-06-20,CA,paid_search
C100165,2023-05-04,UK,paid_search
C100166,2024-02-23,UK,referral
C100167,2024-10-05,US,social
C100168,2024-03-21,US,social
C100169,2024-02-11,US,email
C100170,2024-05-21,US,email
C100171,2023-04-29,UK,social
C100172,2023-11-08,UK,social
C100173,2024-10-13,AU,paid_search
C100174,2024-05-20,CA,paid_search
C100175,2023-12-31,CA,paid_search
C100176,2023-04-01,CA,organic
C100177,2023-11-30,US,organic
C100178,2024-05-24,UK,social
C100179,2023-12-29,US,social
C100180,2023-04-08,AU,paid_search
C100181,2024-07-04,US,paid_search
C100182,2023-12-08,CA,organic
C100183,2024-10-07,UK,social
C100184,2024-05-26,US,referral
C100185,2024-07-25,UK,paid_search
C100186,2024-07-10,US,organic
C100187,2023-08-08,US,paid_search
C100188,2023-03-02,AU,organic
C100189,2024-05-31,US,social
C100190,2023-05-04,CA,email
C100191,2023-09-10,UK,organic
