order_id,customer_id,order_date,channel,category,quantity,unit_price,discount,net_revenue,cost_of_goods,gross_margin,status,margin_pct
O500687,C100205,2023-01-30,web,accessories,1,48.93,7.34,41.59,20.71,20.88,completed,0.502
O500687,C100205,2023-01-30,web,apparel,1,43.07,0.0,43.07,21.85,21.22,completed,0.4927
O500687,C100205,2023-01-30,web,footwear,3,94.87,14.23,270.38,152.29,118.09,completed,0.4368
O501649,C100477,2023-02-08,web,accessories,1,46.67,0.0,46.67,24.95,21.72,completed,0.4654
O501649,C100477,2023-02-08,web,electronics,1,204.51,20.45,184.06,138.23,45.83,completed,0.249
O500298,C100096,2023-02-12,mobile_app,footwear,1,65.88,3.29,62.59,40.41,22.18,completed,0.3544
O500298,C100096,2023-02-12,mobile_app,home,1,76.4,0.0,76.4,47.27,29.13,completed,0.3813
O500298,C100096,2023-02-12,mobile_app,beauty,2,25.27,10.11,40.43,18.66,21.77,completed,0.5385
O502939,C100827,2023-02-12,web,home,1,89.92,17.98,71.94,45.86,26.08,completed,0.3625
O500685,C100204,2023-02-18,mobile_app,home,3,73.81,44.29,177.14,109.04,68.1,completed,0.3844
O500726,C100222,2023-02-19,mobile_app,apparel,1,55.1,0.0,55.1,27.99,27.11,completed,0.492
O500726,C100222,2023-02-19,mobile_app,electronics,3,182.2,81.99,464.61,407.8,56.81,completed,0.1223
O501656,C100478,2023-02-20,mobile_app,apparel,1,115.16,0.0,115.16,60.05,55.11,completed,0.4786
O501656,C100478,2023-02-20,mobile_app,electronics,2,325.07,0.0,650.14,542.19,107.95,completed,0.166
O503130,C100875,2023-03-01,web,apparel,3,77.19,11.58,219.99,122.35,97.64,completed,0.4438
O503130,C100875,2023-03-01,web,apparel,1,68.66,6.87,61.79,33.07,28.72,completed,0.4648
O503130,C100875,2023-03-01,web,beauty,1,45.36,9.07,36.29,17.0,19.29,completed,0.5316
O501768,C100506,2023-03-04,mobile_app,electronics,3,521.85,78.28,1487.27,1259.94,227.33,completed,0.1529
O501768,C100506,2023-03-04,mobile_app,apparel,1,120.78,0.0,120.78,61.94,58.84,completed,0.4872
O501791,C100508,2023-03-08,web,accessories,2,96.42,0.0,192.84,95.85,96.99,completed,0.503
O501791,C100508,2023-03-08,web,footwear,2,156.94,62.78,251.1,154.53,96.57,completed,0.3846
O500432,C100145,2023-03-10,web,apparel,1,89.02,0.0,89.02,46.84,42.18,completed,0.4738
O500432,C100145,2023-03-10,web,apparel,2,114.46,34.34,194.58,108.11,86.47,completed,0.4444
O500063,C100029,2023-03-15,web,apparel,1,42.89,6.43,36.46,19.7,16.76,completed,0.4597
O500063,C100029,2023-03-15,web,apparel,3,48.88,22.0,124.64,66.16,58.48,completed,0.4692
O500063,C100029,2023-03-15,web,footwear,2,74.55,0.0,149.1,93.0,56.1,completed,0.3763
O502221,C100632,2023-03-18,web,home,2,72.08,0.0,144.16,100.11,44.05,completed,0.3056
O502221,C100632,2023-03-18,web,footwear,2,48.64,0.0,97.28,57.59,39.69,completed,0.408
O502221,C100632,2023-03-18,web,apparel,1,34.96,5.24,29.72,15.91,13.81,completed,0.4647
O502940,C100827,2023-03-18,mobile_app,home,3,185.86,55.76,501.82,300.55,201.27,completed,0.4011
O502941,C100827,2023-03-20,marketplace,electronics,3,386.17,0.0,1158.51,976.06,182.45,completed,0.1575
O502987,C100838,2023-03-23,retail_partner,home,3,94.49,0.0,283.47,184.53,98.94,completed,0.349
O502987,C100838,2023-03-23,retail_partner,footwear,3,104.16,46.87,265.61,166.16,99.45,completed,0.3744
O502987,C100838,2023-03-23,retail_partner,beauty,1,32.8,6.56,26.24,12.54,13.7,completed,0.5221
O501792,C100508,2023-03-24,mobile_app,beauty,1,55.43,8.31,47.12,25.1,22.02,completed,0.4673
O501792,C100508,2023-03-24,mobile_app,beauty,2,44.48,13.34,75.62,37.23,38.39,completed,0.5077
O501792,C100508,2023-03-24,mobile_app,electronics,2,184.41,36.88,331.94,265.56,66.38,completed,0.2
O502694,C100769,2023-03-24,mobile_app,apparel,3,63.45,9.52,180.83,97.35,83.48,completed,0.4616
O502694,C100769,2023-03-24,mobile_app,apparel,1,58.98,8.85,50.13,29.15,20.98,completed,0.4185
O503128,C100874,2023-03-25,mobile_app,accessories,3,42.13,0.0,126.39,55.78,70.61,completed,0.5587
O503128,C100874,2023-03-25,mobile_app,home,3,76.82,34.57,195.89,121.19,74.7,completed,0.3813
O501650,C100477,2023-03-31,marketplace,accessories,1,75.1,0.0,75.1,36.63,38.47,completed,0.5123
O501650,C100477,2023-03-31,marketplace,footwear,2,171.75,0.0,343.5,215.59,127.91,completed,0.3724
O501650,C100477,2023-03-31,marketplace,electronics,2,336.94,101.08,572.8,462.71,110.09,completed,0.1922
O502942,C100827,2023-04-02,web,beauty,1,50.63,0.0,50.63,24.64,25.99,completed,0.5133
O502942,C100827,2023-04-02,web,home,2,80.04,0.0,160.08,88.77,71.31,completed,0.4455
O502942,C100827,2023-04-02,web,beauty,2,43.73,0.0,87.46,40.81,46.65,completed,0.5334
O500702,C100211,2023-04-06,marketplace,electronics,1,275.17,0.0,275.17,226.6,48.57,completed,0.1765
O500702,C100211,2023-04-06,marketplace,beauty,1,31.17,3.12,28.05,13.01,15.04,completed,0.5362
O500702,C100211,2023-04-06,marketplace,apparel,2,58.34,5.83,110.85,67.23,43.62,completed,0.3935
O501793,C100508,2023-04-06,mobile_app,apparel,1,77.01,0.0,77.01,44.49,32.52,completed,0.4223
O503131,C100875,2023-04-08,mobile_app,electronics,2,272.99,81.9,464.08,404.75,59.33,completed,0.1278
O503131,C100875,2023-04-08,mobile_app,footwear,1,160.69,0.0,160.69,99.19,61.5,completed,0.3827
O500071,C100033,2023-04-11,mobile_app,footwear,2,65.89,26.36,105.42,57.19,48.23,completed,0.4575
O500071,C100033,2023-04-11,mobile_app,apparel,3,31.29,0.0,93.87,51.23,42.64,completed,0.4542
O500686,C100204,2023-04-14,marketplace,accessories,1,40.31,4.03,36.28,17.94,18.34,completed,0.5055
O502499,C100713,2023-04-15,web,home,2,58.22,0.0,116.44,70.57,45.87,completed,0.3939
O502499,C100713,2023-04-15,web,beauty,1,40.39,4.04,36.35,17.59,18.76,completed,0.5161
